SEDE_CODICE,Vi_sono_parcheggi_per_disabili,SEDE_ACCESSIBILE_AI_DISABILI,MUSEO_CODICE,MUSEO_DENOMINAZIONE,MUSEO_TIPOLOGIA,SEDE_DENOMINAZIONE,SEDE_COMUNE,SEDE_PROVINCIA,SEDE_FRAZIONE,SEDE_CAP,SEDE_INDIRIZZO,SEDE_TELEFONO,SEDE_FAX,SEDE_MAIL,SEDE_SITO,SEDE_APERTURA_STATO,SEDE_CHIUSURA_MOTIVO,SEDE_APERTURA_NOTE,SEDE_DESCR_ORARIO_APERTURA,SEDE_ORARI_APERTURA_NOTA,MUSEO_INGRESSO,MUSEO_GIORNO_INGRESSO_GRATUITO,vi_sono_parcheggi_in_zona,ck_biblioteca,ck_aula_attivita_didattiche_ed,ck_sale_studio,ck_archivio,ck_fototeca,ck_sala_conferenze,ck_sala_proiezioni_audio_video,ST_NOTE_3_2_2,ck_biglietteria,ck_guardaroba,ck_area_per_accoglienza,ck_book_shop,ck_caffetteria_ristorante,ck_area_x_prima_infanzia,ST_NOTE_3_2_3,ck_laboratorio_fotografico,ck_laboratorio_di_restauro,ck_laboratorio_preparazione,ck_laboratorio_per_analisi,ST_NOTE_3_2_4,presenza_servizi_igienici,ck_pannelli_sk_mobili,ck_guide_brevi_in_italiano,ck_guide_brevi_in_piu_lingue,ck_catalogo_del_museo,ck_servizio_di_audioguide,ck_proiezione_audiovisivi,ck_sussidi_inform_multimediali,ck_servizio_di_visite_guidate,ck_servizi_speciali_disabili,RA_NOTE_7_9_3,RICONOSCIMENTO_STATO
2683,SI,TOTALMENTE,2538,MUSEO ETNOGRAFICO,ETNOGRAFIA E ANTROPOLOGIA,MUSEO ETNOGRAFICO DEI MESTIERI DEL FIUME,RODIGO,MANTOVA,Rivalta sul Mincio,46040,"Via Porto, 31",0376653340,0376653340,info@prolocorivalta.mn.it,http://www.prolocorivalta.mn.it,APERTA,,,"Il museo è aperto dalle ore 10 fino al tramonto nei giorni di sabato e domenica, tutto l'anno. Inoltre da marzo a settembre gli operatori volontari che si occupano delle aperture riescono a tenerlo aperto quasi tutti i giorni della settimana. Su appuntamento è possibile visitare il museo in qualsiasi giorno.",,A PAGAMENTO,,SI,SI,SI,SI,,,SI,SI,"Alcuni dei suddetti spazi si trovano in un edificio adiacente al museo, che ospita l'ostello della gioventù, la biblioteca ed una grande sala polivalente.",SI,,SI,SI,SI,,Anche in questo caso alcuni degli spazi sono nell'edificio adiacente: l'area per l'accoglienza e la caffetteria.,,,,,"Non esistono laboratori permanenti, ma all'occorrenza possono essere allestiti. A Rivalta è attivo il Circolo Fotografico Rivalta, ad esempio, che collabora con il museo. La loro attrezzatura può essere temporaneamente spostata al museo per l'allestimento di un laboratorio.",SI,SI,SI,,,,,,SI,,,RICONOSCIUTO
2682,SI,TOTALMENTE,2558,MUSEO DELL?INDUSTRIA E DEL LAVORO DI BRESCIA,SCIENZA E TECNICA,MUSEO DELL'INDUSTRIA E DEL LAVORO DI RODENGO SAIANO,RODENGO SAIANO,BRESCIA,,25050,Via del Commercio 18,030 6813487,030 681343,rodengosaiano@musil.bs.it,www.musilrodengosaiano.it,APERTA,,,"Il Museo è aperto dal martedì al sabato  9.30 - 12.30, sabato anche 15-18, domenica 15-18",Il Museo prevede la futura apertura anche per il sabato e la domenica.,A PAGAMENTO,,SI,,SI,,,,SI,SI,,SI,,SI,SI,,,,,SI,SI,,,SI,SI,SI,SI,,,SI,,SI,,,RICONOSCIUTO
2142,SI,PARZIALMENTE,2101,MUSEO DELL'ABBAZIA DI MORIMONDO,COMPOSITO,MUSEO DELL'ABBAZIA DI MORIMONDO,MORIMONDO,MILANO,,20081,"Piazza Municipio, 6",02 94961919,02 94961919,fondazione@abbaziamorimondo.it,www.abbaziamorimondo.it,APERTA,,,"lunedì, martedì, mercoledì, giovedì, venerdì: 9.00-12.30
sabato: 9.30-12.00 e 15.00-17.00
domenica: 15.00-18.00
totale ore 25, distribuite in sette giorni settimnali",,A PAGAMENTO,"OCCASIONI SPECIALI, GIORNATE DEL PATRIMONIO, GIORNATE DELLA CULTURA",SI,SI,SI,SI,SI,SI,SI,SI,,SI,,SI,SI,,,Gli spazi individuati sono attualmente collocati all'inizio del percorso di visita. Tale percorso sarà modificato definitivamente all'inizio del 2010.,,,,,"Tutte le analisi, restauri e la documentazione fotografica sono affidati a specialisti esterni.",SI,SI,SI,SI,,,SI,SI,SI,SI,,RICONOSCIUTO
742,SI,TOTALMENTE,601,MUSEO CIVICO,ARCHEOLOGIA,MUSEO CIVICO,MANERBIO,BRESCIA,,25025,"Piazza Cesare Battisti, 1",030 9387290 - 030 9387291,030 9387286,centroculturale@comune.manerbio.bs.it,www.comune.manerbio.bs.it,APERTA,,,"Lunedì: chiuso
Martedì, Mercoledì, Giovedì e Venerdì: 
9.00 - 12.30/14.30 - 16.30; 
Giovedì anche 20.30 - 22.30
Sabato: chiuso
Domenica: 16.30 - 19.00 
(escluso mese di agosto)",,A PAGAMENTO,,SI,SI,SI,SI,,,,,"Possibilità di utilizzare la sala dell'attiguo teatro ed altre sale appartenenti al centro culturale comunale, per conferenze e proiezioni audio e video.",SI,,SI,SI,,,In casi di particolare affluenza vengono condivisi gli spazi della biblioteca.,,,SI,,,SI,SI,SI,,,,,SI,SI,,,RICONOSCIUTO
2685,NO,TOTALMENTE,2558,MUSEO DELL?INDUSTRIA E DEL LAVORO DI BRESCIA,SCIENZA E TECNICA,MUSEO DEL FERRO,BRESCIA,BRESCIA,,25136,Via del Manestro 107-111,030 3750663,030 2404554,sanbartolomeo@musil.bs.it,www.musilsanbartolomeo.it,APERTA,,,Il Museo è aperto su prenotazione e visite guidate.,,A PAGAMENTO,,NO,,SI,,SI,,SI,SI,,SI,SI,,SI,,,,,,SI,,,SI,SI,SI,,,,SI,SI,SI,,,RICONOSCIUTO
2684,SI,TOTALMENTE,2558,MUSEO DELL?INDUSTRIA E DEL LAVORO DI BRESCIA,SCIENZA E TECNICA,MUSEO DELL'ENERGIA IDROELETTRICA,CEDEGOLO,BRESCIA,,25051,Via Roma 48,030 3750663,030 2404554,cedegolo@musil.bs.it,www.musilcedegolo.it,APERTA,,,"apertura stagionale da marzo a ottobre.
Aperto da martedì a domenica. Orario 9-12 per visite guidate e 15-18.",,A PAGAMENTO,,SI,,SI,,,,SI,SI,,SI,,,SI,SI,,,,,,,,SI,SI,SI,,,,SI,SI,SI,,,RICONOSCIUTO
223,SI,PARZIALMENTE,61,CIVICI MUSEI DI ARTE E STORIA,COMPOSITO,MUSEO DEL RISORGIMENTO,BRESCIA,BRESCIA,,25121,"Via Castello, 9",030 44176,030 44176,museiarte@comune.brescia.it,www.museiarte.brescia.it/musei,APERTA,,,"ESTIVO               DALLE 10,30 ALLE 18
                     
INVERNALE            DALLE 9,30 ALLE 17",,A PAGAMENTO,,NO,,SI,,,,,,I SERVIZI AL PUBBLICO SOPRA ELENCATI E NON SELEZIONATI SONO CENTRALIZZATI PRESSO LA DIREZIONE MUSEI,SI,,,SI,,,,,,,,I SERVIZI SOPRA INDICATI SONO CENTRALIZZATI PRESSO LA DIREZIONE MUSEI,SI,SI,SI,,,,,,SI,,,RICONOSCIUTO
2661,NO,TOTALMENTE,641,MUSEI  MAZZUCCHELLI,SPECIALIZZATO,PINACOTECA GIUSEPPE ALESSANDRA,MAZZANO,BRESCIA,Ciliverghe,25080,"via G. Mazzucchelli, 2",030/212421,030/2120603,info@museimazzucchelli.it,www.museimazzucchelli.it,APERTA,,,"Da martedì a venerdì dalle 9.00 alle 18.00. Sabato, domenica e festivi dalle 10.00 alle 18.00. Chiuso il lunedì.",,A PAGAMENTO,,SI,SI,,,,,,SI,,SI,,SI,SI,,,,,,,,,SI,SI,,,SI,,,,SI,,,RICONOSCIUTO
2124,SI,PARZIALMENTE,2082,MUSEO ETNOGRAFICO DELL' ALTA VALLE SERIANA,ETNOGRAFIA E ANTROPOLOGIA,SEDE CENTRALE,ARDESIO,BERGAMO,,24020,"Piazza  Monte Grappa, 2",0346 33035,0346 34280,info@comune.ardesio.bg.it,www.adsol.it,APERTA,,,"PERIODO ESTIVO (20/06 - 31/08), NATALIZIO E PASQUALE: 
DAL MARTEDI' AL SABATO: 10.00-12.00/ 16.00 - 18.00
DOMENICA: 10.00-12.00/ 14.00 - 18.00
chiuso il lunedì
PERIODO INVERNALE:
SABATO E DOMENICA: 10.00-12.00/ 14.00 - 18.00
NEL MESE DI SETTEMBRE IL MUSEO CHIUDE PER INVENTARIO E MANUTENZIONI.
Tutti gli altri giorni dell'anno solo su prenotazione.",Con prenotazione il museo è aperto tutti i giorni senza limitazione di orario.,A PAGAMENTO,FERRAGOSTO,SI,SI,SI,,SI,SI,SI,SI,,SI,SI,SI,SI,,SI,,SI,,SI,,,SI,SI,SI,,SI,,SI,SI,SI,,,RICONOSCIUTO
2665,SI,PARZIALMENTE,282,MUSEI CIVICI ENRICO BUTTI,ARTE,MUSEO DELLA SCULTURA VIGGIUTESE DELL'OTTOCENTO,VIGGIU',VARESE,,21059,Via Roma 49,0332 486510,0332 488861,museobutti@comune.viggiu.va.it,,APERTA,,,Nel periodo estivo (giugno - settembre) si effettua apertura domenicale dalle 15 alle 19,,GRATUITO,,SI,,,,,,SI,,Sala conferense disponibile nell'attigua Villa Borromeo,,,,,,,Vedi scheda Museo Butti,,,,,Vedi scheda Museo Butti,SI,SI,SI,,,,,,SI,,,RICONOSCIUTO
2671,SI,TOTALMENTE,1982,MUSEO CIVICO ERNESTO  E TERESA DELLA TORRE,COMPOSITO,EXPLORAZIONE,TREVIGLIO,BERGAMO,,24047,piazza Cameroni snc,0363-317502,0363-317503,ufficio.cultura@comune.treviglio.bg.it,www.explorazione.it,APERTA,,,"MERCOLEDI' 15.30 - 18.00
DOMENICA 15.00 - 18.00",,GRATUITO,,SI,,SI,,,,,SI,,SI,SI,SI,,,,,,,,,,SI,SI,SI,,,,,,SI,,,RICONOSCIUTO
1182,SI,TOTALMENTE,1001,MUSEO CIVICO ALA PONZONE,ARTE,MUSEO CIVICO ALA PONZONE,CREMONA,CREMONA,,26100,"Via Ugolani Dati, 4",0372 407269,0372 407260,museoalaponzone@comune.cremona.it,,APERTA,,,"da martedì a sabato dalle 9.00 alle 18.00;
domenica e festivi dalle 10.00 alle 18.00.",,A PAGAMENTO,,SI,SI,SI,SI,SI,SI,SI,SI,,SI,SI,,SI,SI,,,,SI,,SI,,SI,SI,SI,,SI,,,,SI,,I cataloghi sono disponibili solo per parte delle collezioni.,RICONOSCIUTO
1183,SI,PARZIALMENTE,1002,MUSEO DELLA CIVILTA' CONTADINA IL CAMBONINO VECCHIO,ETNOGRAFIA E ANTROPOLOGIA,MUSEO DELLA CIVILTÀ CONTADINA IL CAMBONINO VECCHIO,CREMONA,CREMONA,,26100,"Via Castellone, 51",0372  560025,0372 560025,,,APERTA,,,da lunedì a domenica 9.00-13.00,,GRATUITO,,SI,SI,SI,,,,,,,SI,SI,,,,,,,,,,,SI,SI,SI,,SI,,SI,,SI,,Il catalogo è disponibile per parte delle collezioni.,RICONOSCIUTO
2123,SI,TOTALMENTE,2081,MUSEO DIOCESANO ADRIANO BERNAREGGI,ARTE,MUSEO ADRIANO BERNAREGGI,BERGAMO,BERGAMO,,24121,"Via Pignolo, 76",035 248772,035 215 517,info@fondazionebernareggi.it,www.museobernareggi.it,APERTA,,,"Tutti i giorni escluso lunedì
orari:
9.30 - 12.30
15.00 - 18.30",,A PAGAMENTO,,SI,SI,SI,SI,,SI,SI,SI,,SI,SI,SI,SI,,SI,,,,,,,SI,SI,SI,,,,SI,SI,SI,,,RICONOSCIUTO
2669,SI,TOTALMENTE,2211,MUSEO DEL CONTADINO,ETNOGRAFIA E ANTROPOLOGIA,MUSEO CONTADINO DELLA BASSA PAVESE,SANTA CRISTINA E BISSONE,PAVIA,,27010,Piazza XXV Aprile,,,museocontadino@comune.santacristinaebissone.pv.it,,APERTA,,,"giovedi ore 9-12
venerdi ore 9-12
sabato ore 14-16,30
domenica ore 9,30-12","orario estivo: 
martedì, giovedì e venerdì ore 9,30-12 mercoledì e sabato ore 14,30-17
domenica ore 9-12",GRATUITO,,SI,SI,,,SI,SI,SI,,,,,SI,SI,,,caffetteria a 50 mt.,,,,,,SI,SI,SI,,,,,,SI,,,RICONOSCIUTO
1185,SI,TOTALMENTE,1004,MUSEO STRADIVARIANO,SPECIALIZZATO,MUSEO STRADIVARIANO,CREMONA,CREMONA,,26100,"Via Ugolani Dati, 4",0372 407770,0372 407268,museo.alaponzone@comune.cremona.it,,APERTA,,,"da martedì a sabato dalle 9.00 alle 18.00;
domenica e festivi dalle 10.00 alle 18.00.",,A PAGAMENTO,,SI,SI,SI,SI,SI,SI,SI,SI,,SI,SI,,SI,SI,,,,SI,,SI,,SI,,SI,SI,SI,,SI,,,SI,Grazie all'intervento della Fondazione Cariplo si è predisposto un percorso speciale per ipovedenti e non vedenti che permette di cmprendere le fasi di costruzione fino all'assemblaggio di uno strumento ad arco.,RICONOSCIUTO
1184,SI,TOTALMENTE,1003,MUSEO DI STORIA NATURALE,SCIENZA E STORIA NATURALE,PALAZZINA DEL PARCO DEL VECCHIO PASSEGGIO,CREMONA,CREMONA,,26100,"Viale Trento e Trieste/v. Gioconda, 5",0372 23766,,museo.storianaturale@e-cremona.it,,APERTA,,,lunedì-domenica 9-13,,GRATUITO,,SI,,SI,,,,SI,SI,La sala per le conferenze e per le proiezioni è la stessa.,SI,SI,,,,,,,,,,,SI,SI,SI,,SI,,SI,,SI,,I cataloghi a disposizione riguardano parte delle collezioni.,RICONOSCIUTO
226,SI,TOTALMENTE,62,MUSEO CIVICO DI SCIENZE NATURALI,SCIENZA E STORIA NATURALE,MUSEO CIVICO DI SCIENZE NATURALI,BRESCIA,BRESCIA,,25128,"Via Ozanam, 4",030 2978660,030 3701048,museo.scienze@comune.brescia.it,www.comune.brescia.it/musescienzenaturali,APERTA,,,"TUTTI I GIORNI DALLE ORE 9.00 ALLE ORE 17.00
CONTINUATO
CHIUDE SOLO:
1 GENNAIO 
1 MAGGIO
25 DICEMBRE",,GRATUITO,,SI,SI,SI,SI,SI,,SI,SI,Osservatorio astronomico con saletta didattica,,SI,SI,,,,Vendita libri presso biblioteca,,,SI,,collezioni naturalistiche,SI,SI,SI,,,,,SI,SI,,,RICONOSCIUTO
224,NO,NON ACCESSIBILE,61,CIVICI MUSEI DI ARTE E STORIA,COMPOSITO,MUSEO DELLE ARMI 'LUIGI MARZOLI',BRESCIA,BRESCIA,,25121,"Via Castello, 9",030 293292,,museiarte@comune.brescia.it,www.museiarte.brescia.it,APERTA,,,"ESTIVO            DALLE 10,30 ALLE 18
                  
INVERNALE         DALLE 9,30  ALLE 17,30",,A PAGAMENTO,,NO,,SI,,,,,,I SERVIZI SOPRA INDICATI E NON SELEZIONATI SONO CENTRALIZZATI PRESSO LA DIREZIONE MUSEI,SI,,,SI,,,,,SI,,,I SERVIZI SOPRA INDICATI E NON SELEZIONATI SONO CENTRALIZZATI PRESSO LA DIREZIONE MUSEI,SI,SI,SI,SI,SI,,,,SI,,,RICONOSCIUTO
1202,SI,TOTALMENTE,1025,MUSEO ARCHEOLOGICO,ARCHEOLOGIA,MUSEO ARCHEOLOGICO,CREMONA,CREMONA,,26100,"Via San Lorenzo, 4",0373/407775,0372/407268,museo.alaponzone@comune.cremona.it,http://musei.comune.cremona.it,APERTA,,"La sede è stata inaugurata il 31 maggio 2009, con allestimento completato e pronta per il funzionamento. E' ora aperta al pubblico per un mese con ingresso gratuito; è prevista una chiusura estiva, cui seguirà a partire dal 1 settembre 2009 l'avvio a pieno regime .","Dal martedì alla domenica ore 9,00-13,00
lunedì ore 9,00-13,00 su appuntamento",,A PAGAMENTO,,SI,,,,SI,SI,,SI,Altri spazi sono disponibili presso la sede di Palazzo Affaitati (vedi scheda),SI,,,SI,,,,,,,,,SI,SI,SI,,,,SI,,SI,,,RICONOSCIUTO
2630,SI,PARZIALMENTE,2178,MUSEO DEL GIOCATTOLO E DEL BAMBINO,SPECIALIZZATO,MUSEO DEL GIOCATTOLO E DEL BAMBINO SANTO STEFANO LODIGIANO,SANTO STEFANO LODIGIANO,LODI,,,Via Trento Trieste 2,037765244,,museodelgiocattolo@tin.it,www.museodelgiocattolo.it,APERTA,,,"Da Lunedì a Venerdì su prenotazione o richiesta.  domenica e festivi 09.30-12.30  14,30-18.30","Il museo è aperto tutto l'anno tranne il mese di agosto, compresi i giorni festivi.",A PAGAMENTO,,SI,SI,SI,,SI,,,SI,"Lungo il percorso, quattro audiovisivi mostrano le pagine sfogliate dei libri esposti.",SI,SI,SI,,,SI,,,SI,,,laboratori didattici,SI,SI,SI,,SI,,SI,SI,SI,SI,su prenotazione si svolgono inoltre visite guidate in inglese/francese,RICONOSCIUTO
1682,SI,TOTALMENTE,1581,MUSEO VIRGILIANO,COMPOSITO,MUSEO VIRGILIANO,VIRGILIO,MANTOVA,Pietole,46030,"Via Parma, 34",0376 440439,,servizipersona@comune.virgilio.mn.it,,APERTA,,,"venerdì e sabato
dalle 10.00 alle 12.30
dalle 16.00 alle 18.30",,GRATUITO,,SI,,,,,,SI,SI,piccolo spazio di consultazione bibliografica,,,,SI,,,,,,,,,SI,SI,SI,,SI,,,,,,,RICONOSCIUTO
2443,NO,NON ACCESSIBILE,1888,"MUSEO CIVICO DI SCIENZE NATURALI ""ALESSIO AMIGHETTI""",SCIENZA E STORIA NATURALE,SEDE OPERATIVA,LOVERE,BERGAMO,,24065,"Piazza Vittorio Emanuele II,2",035 983729,035 983729,museoscienze.lovere@tin.it,,APERTA,,"Si tratta di una sede operativa aperta il lunedì, martedì, mercoledì, giovedì e venerdi, dalle ore 9 alle ore 12 per lavori di segreteria, per consultazione pubblica della biblioteca e dell'archivio fotografico.","Lunedì, Martedì,Mercoledì,Giovedì e Venerdì dalle ore 9.00 alle ore 12.00",,GRATUITO,,NO,SI,,SI,SI,SI,,,,,,,,,,Nella sede operativa non ci sono spazi per questi servizi.,SI,,,,,NO,,,,,,,SI,,,,RICONOSCIUTO
2445,SI,PARZIALMENTE,463,MUSEO DIDATTICO DELLA RISERVA NATURALE E INCISIONE RUPESTRI  PASPARDO,ARCHEOLOGIA,MUSEO ALL'APERTO,CETO,BRESCIA,,,Ris.Naturale . Inc. Rup. CetoCimbergo Paspardo,0364/433465 segreteria 0364/436129,,riservaincisioni.museo@arterupestre.it   oppure consorzioincisionirupestri@arterupestre.it,www.arterupestre.it,APERTA,,Con stessi orari del Museo Didattico,"Primavera-estate-autunno: 9.00/18.00
Inverno: 9.00/17.00
Aperto tutti i giorni (inclusi sabato e domenica)
chiuso solo a Natale e Capodanno",Stessi orari del Museo. Area sempre aperto invece per  gli abitanti dei Paesi e per i conduttori dei fondi agricoli.,A PAGAMENTO,,SI,,SI,,,,,,"Nel museo all'aperto ,oltre alle rocce istoriate, vi è la ricostruzione di un villaggio preistorico,ujn ambito didattico atrezzato (attivo dal maggio 2007) un percorso con i cascinali storici, ambiti vegetazionali e tutta la sentieristica storica",,,SI,,,,Tutti i servizi sopraelencati sono nel museo;  il museo all'eperto è dotati di piazzuole di ingresso con informazioni e di un ambito con i servizi igienici a Foppe di Nadro. Presso paspardo è in corso di realizzazione un percorso attrezzato per i portatori di handicap,,,,,Laboratori didattici all'interno dell'area,SI,SI,SI,SI,,SI,,,SI,SI,I servizi multimediali sono al Museo,RICONOSCIUTO
2444,NO,TOTALMENTE,641,MUSEI  MAZZUCCHELLI,SPECIALIZZATO,MUSEO DELLA MODA E DEL COSTUME,MAZZANO,BRESCIA,Ciliverghe,25080,"Via G. Mazzucchelli, 2",030/212421,030/2120603,info@museimazzucchelli.it,www.museimazzucchelli.it,APERTA,,,"Da martedì a venerdì dalle 9.00 alle 18.00. Sabato, domenica e festivi dalle 10.00 alle 18.00. Chiuso il lunedì.",,A PAGAMENTO,,SI,SI,,,SI,SI,SI,SI,"La Biblioteca, la Fototeca, l'Archivio, e il deposito sono consultabili su prenotazione. Non è presente un servizio prestiti.",SI,,SI,SI,,,,,,,,,SI,SI,SI,SI,SI,,,SI,SI,,(*) In una lingua straniera: inglese.,RICONOSCIUTO
2435,SI,PARZIALMENTE,23,MUSEO STORICO DI BERGAMO,STORIA,ROCCA DI BERGAMO,BERGAMO,BERGAMO,,24129,"Piazzale Brigata Legnano, 12",035 221040,035219128,segreteria@bergamoestoria.it,www.bergamoestoria.it,APERTA,,,"Aperto tutti i giorni (lunedì escluso se non festivo), dalle 9.30 alle 13.00 e dalle 14.00 alle 17.30.
Da giugno a settembre il Museo il sabato e la domenica è aperto dalle 9.30 alle 19.00.",,A PAGAMENTO,,SI,,,,,,,,Spazi e servizi sono disponibili presso la sede del Convento di San Francesco,SI,,SI,SI,,,,,,,,,SI,SI,SI,,,SI,,SI,SI,,Le schede mobili sono disponibili anche in lingua inglese.,RICONOSCIUTO
2434,SI,PARZIALMENTE,1802,MUSEO DI ARTE MODERNA E CONTEMPORANEA,ARTE,MUSEO DELLE CERE POSTUMIA,GAZOLDO DEGLI IPPOLITI,MANTOVA,,46040,"Piazza Castello, 1",0376 657141/657952,0376 657488,info@postumia-mam.it,www.postumia-mam.it,APERTA,,"Il museo è aperto il sabato e la domenica dalle 10.00 alle 12.30 e dalle 15.30 alle 18.30. Gli altri giorni, tranne il lunedì si apre a richiesta rivolgendosi alla segreteria del MAM","Sabato e domenica: 10.00-12.30 15.30-18.30
Gli altri giorni, escluso il lunedì, si apre su richiesta rivolgendosi alla segreteria del MAM.",,A PAGAMENTO,,SI,,,,,,,SI,,SI,,SI,,,,,,SI,,,,SI,SI,SI,,,,,,SI,,,RICONOSCIMENTO SOSPESO
2432,SI,TOTALMENTE,2336,ORTO BOTANICO CASCINA ROSA,ORTO BOTANICO,ORTO BOTANICO DI CASCINA ROSA,MILANO,MILANO,,20133,"Via valvassori Peroni, 7",0250320888,0250320887,alberto.spada@unimi.it,,APERTA,,,"MARTEDI', MERCOLEDI', VENERDI' 
9-13 / 14.30 - 18 
""CON VARIAZIONI LEGATE ALLA DISPONIBILITA' DEI VOLONTARI"".",Aperture limitate in rapporto alle stagioni e alle necessità di manutenzione.,GRATUITO,,SI,,SI,,SI,SI,SI,SI,Camere di crescita e serre di ricovero delle piante a temperatura controllata.,,,SI,,,,,,,SI,SI,E' presente anche un laboratorio didattico.,SI,SI,,,,,SI,SI,SI,SI,,RICONOSCIUTO
1363,SI,TOTALMENTE,1221,MUSEO DELLA CIVILTA' CONTADINA,ETNOGRAFIA E ANTROPOLOGIA,MUSEO  DELLA CIVILTÀ CONTADINA,OFFANENGO,CREMONA,,26010,"Via della Rocca, 13",0373 244084,0373 244571,,,APERTA,,,"Sabato, domenica e festivi dalle 10.00 alle 12.00 e dalle 15.00 alle 18.00
Orario continuato durante la Fiera ""Settembre Offanenghese"" (4 giorni)
Si è stabilito un giorno di apertura )mercoledì ore 9.00- 12.00) per visite didattiche su appuntamento.",,GRATUITO,,SI,,,,,,,,"Nel progetto sono previsti spazi per le funzioni di documentazione e la biblioteca;è prevista, inoltre, un'aula apposita per attività didattica, utilizzabile anche come sala conferenze.",,,,,,,E' in corso la ristutturazione dell'edificio museale.,,,,,E' in corso la ristrutturazione dell'edificio museale.,SI,SI,SI,,SI,,,SI,SI,,"Esistono un depliant descrittivo del museo, e pubblicazioni a tema che raggruppano le tipologie degli oggetti secondo gli ambienti tradizionali (per esempio la cucina). 
E' in progetto la predisposizione di strumeti multimediali.
E' disponibile la ""Guida ai musei della Provincia di Cremona"", con traduzione in inglese.",RICONOSCIUTO
2439,SI,TOTALMENTE,2356,MUSEO D'ARTE E CULTURA SACRA,ARTE,ORATORI DELLE CONFRATERNITE,ROMANO DI LOMBARDIA,BERGAMO,,24058,"Piazza S. Defendente, 1",0363 902507,0363 913868,info@arteculturasacra.com,www.arteculturasacra.com,APERTA,,la sede museale viene aperta al pubblico durante l'allestimento di mostre temporanee,"L'orario di apertura, durante le mostre temporanee, corrisponde a quello del museo",queste sedi museali vengono aperte solo durante le mostre temporanee.,A PAGAMENTO,14 SETTEMBRE,SI,,,,,,SI,,,,,,,,,,,,SI,,,SI,SI,,,,,,,SI,,,RICONOSCIUTO
2438,SI,PARZIALMENTE,2063,MUSEO DELLA BASILICA,ARTE,PALAZZO SCUOLE VECCHIE,GANDINO,BERGAMO,,24024,"Via Ponziano Loverini, 11",035 745425,035 745425,museobasilica@gandino.it,www.gandino.it/museobasilica,APERTA,,,"Sabato 
14.00 - 19.00 (ultimo ingresso ore 18.00)
Domenica e Festivi
14.00 - 19.00 (ultimo ingresso ore 18.00 )","Il museo è diviso in 3 sezioni: arte sacra(in edificio attiguo), presepi e tessile (in questo edificio). Da mar. a ott. è possibile accedere alla sezione di arte sacra e, su richiesta alle altre 2 sezioni. Da Nov. a Feb. è invece possibile accedere alle sezioni presepi e tessile e, su richiesta, a quella di arte sacra. Presentandosi ala biglietteria aperta è possibile visitare anche le sezioni con biglietteria chiusa.",A PAGAMENTO,,SI,SI,SI,SI,SI,SI,SI,,"Tutti gli spazi sono in comune con l'altra sede museale e ubicati presso il centro pastorale di via Bettera, 14",SI,,SI,,,,,,,,,,SI,SI,SI,,SI,,,SI,SI,,,RICONOSCIUTO
2437,NO,NON ACCESSIBILE,23,MUSEO STORICO DI BERGAMO,STORIA,MUSEO DONIZETTIANO,BERGAMO,BERGAMO,,24129,"Via Arena, 9",035 4284769,035 219128,,,APERTA,,,"Chiuso il lunedì se non festivo.
Da giugno a settembre 9.30-13 e 14-17.30.
Da ottobre a maggio: da martedì a venerdì 9.30-13 e il pomeriggio su prenotazione.",,A PAGAMENTO,,NO,SI,SI,SI,SI,,SI,SI,"I servizi sono presso la sede di San Francesco. Presso il Museo Donizettiano esiste una sala per la conservazione dell'archivio, dove si svolge la consultazione su richiesta.",SI,,SI,,,,,,,,,,SI,SI,SI,,SI,,,,SI,,"Le schede mobili sono disponibili in lingua inglese, tedesca e francese.",RICONOSCIUTO
2436,SI,PARZIALMENTE,23,MUSEO STORICO DI BERGAMO,STORIA,PALAZZO DEL PODESTÀ,BERGAMO,BERGAMO,,24129,"Piazza Duomo, 8",,,,,APERTA,,Solo il Campanone,"Il Campanone è aperto da novembre a marzo il sabato e nei festivi dalle 9.30 alle 16.30.
Da aprile a ottobre tutti i giorni (lunedì escluso se non festivo) dalle 9.30 alle 19.00, il sabato e la domenica dalle 9.30 alle 21.30",,A PAGAMENTO,,SI,SI,SI,SI,SI,SI,SI,SI,"Nel progetto si punta a questo risultato, ma al momento la sezione non è attiva.",SI,SI,SI,SI,SI,SI,Come da progetto.,SI,,SI,,,SI,,SI,,,,,,SI,,Tutte le informazioni si riferiscono al Campanone,RICONOSCIUTO
